	Information regarding the entire dataset	Customers who responded "Yes" to the term deposit	Customers who responded "Yes" to the term deposit
Total number	4521	521	4000
Age distribution-----------------------------------------------------------			
Min	19	19	19
Max	87	87	86
Range	41	42	41
Average	68	68	67
Occupation distribution-------------------------------------------------			
Number of unique jobs	12	12	12
Management	969 (21.43%)	131 (25%)	838 (21%)
Blue-collar	946 (21%)	83 (16%)	877 (22%)
Technician	768 (17%)	69 (13%)	685 (17%)
Admin	478 (10.57%)	58 (11%)	420 (11%)
Services	417 (9.22%)	54 (10%)	379 (9%)
Retired	230 (5.09%)	38 (7%)	176 (4%)
Self-employed	183 (4.05%)	20 (4%)	163 (4%)
Entrepreneur	168 (3.72%)	19 (4%)	153 (4%)
Unemployed	128 (2.83%)	15 (3%)	115 (3%)
Housemaid	112 (2.48%)	14 (3%) 	98 (2%)
Students	84 (1.86%)	13 (2%)	65 (2%)
Unknown	38 (0.84%)	7 (1%)	31 (1%)
Marital Status--------------------------------------------------------------			
Married	2797 (62%)	277 (53%)	2520 (63%)
Single	1196 (26%)	167 (32%)	1029 (26%)
Divorced	528 (12%)	77 (15%)	451 (11%)
Education--------------------------------------------------------------------			
Primary	678 (15%)	64 (12%)	614 (15%)
Secondary	2493 (55%)	264 (51%)	2229 (56%)
Tertiary	1350 (30%)	193 (37%)	1157 (29%)
Default rate------------------------------------------------------------------			
No	4445 (98%)	512 (98%)	3933 (98%)
Yes	76 (2%)	9 (2%)	67 (2%)
Balance------------------------------------------------------------------------			
Min	-3313	-1206	-3313
Max	71188	26965	71188
Mean	1423	158	1403
Range	74501	28171	74501
Housing Ownership-----------------------------------------------------			
No	1962 (43%)	301 (58%)	1661 (42%)
Yes	2559 (57%)	220 (42%)	2339 (58%)
Loan----------------------------------------------------------------------------			
No	3830 (85%)	478 (92%)	3352 (84%)
Yes	691 (15%)	43 (8%)	648 (16%)
Month of previous contact---------------------------------------------			
May	1398 (31%)	93 (18%)	1305 (3%)
July	706 (16%)	61 (12%)	645 (16%)
August	633 (14%)	79 (15%)	554 (14%)
June	531 (12%)	55 (11%)	476 (12%)
November	389 (9%)	39(7%)	350 (9%)
April	293 (6%)	56 (11%)	237 (6%)
February	222 (5%)	38 (7%)	184 (5%)
January	148 (3%)	16 (3%)	132 (3%)
October	80 (2%)	37 (7%)	43 (1%)
September	52 (1%)	17 (3%)	35 (1%)
March	49 (1%)	21 (4%)	28 (1%)
December	20 (0.4%)	9 (1%)	11 (0.3%)
Duration of phone call--------------------------------------------------			
Min	4 seconds	30 seconds	4 seconds
Max	3025 seconds	2769 seconds	3025 seconds
Average	264 seconds	553 seconds	226 seconds
Range	301 seconds	2739 seconds	3021 seconds
Number of contacts-------------------------------------------------------			
Min	1 time	1	1
Max	50 times	24	50
Average	3 times	2	3
Number of days passed by after last contact---------------------			
Average	225 days	196 days	233 days
Not previously contacted	3705 customers	337 customers	3368 customers
Number of contacts performed before this campaign----------			
0 times	3705 customers	337 customers	3368 customers
Average	1 time	3 times	3 times
Outcome of the previous campaign----------------------------------			
Success	129 (3%)	83 (16%)	46 (1%)
Failure	490 (11%)	63 (12%)	427 (11%)
Other	197 (5%)	38 (7%)	159 (4%)
Unknown	3705 (82%)	337 (65%)	3368 (84%)